num_decks,dealer_rule,penetration,das,surrender,num_games,win_rate,ev,rtp,hands_played
6,H17,0.75,False,False,10000,43.14685999804056,-0.04398941902615852,95.60105809738415,10207
8,S17,0.5,True,True,10000,42.72691629092335,-0.05587139776514409,94.4128602234856,10202
8,S17,0.5,True,False,10000,42.54024342363565,-0.060855908912446015,93.91440910875541,10188
8,S17,0.5,False,True,10000,42.54317111459969,-0.05729984301412873,94.27001569858713,10192
8,S17,0.5,False,False,10000,42.87535549671472,-0.04864175737962146,95.13582426203784,10197
8,S17,0.65,True,True,10000,42.95684655460533,-0.05524427405878305,94.47557259412169,10173
8,S17,0.65,True,False,10000,42.59368255836767,-0.056405728860113795,94.35942711398863,10194
8,S17,0.65,False,True,10000,43.469307707393604,-0.04491076681702295,95.5089233182977,10198
8,S17,0.65,False,False,10000,42.020440251572325,-0.0695754716981132,93.04245283018868,10176
8,S17,0.75,True,True,10000,42.502453385672226,-0.05564278704612365,94.43572129538764,10190
8,S17,0.75,True,False,10000,42.41084585912172,-0.061695647902544455,93.83043520974556,10179
8,S17,0.75,False,True,10000,42.70037233000196,-0.05751518714481677,94.24848128551832,10206
8,S17,0.75,False,False,10000,42.770316635623956,-0.057543378100186254,94.24566218998137,10201
8,H17,0.5,True,True,10000,42.801021410331956,-0.05382046749165194,94.6179532508348,10182
8,H17,0.5,True,False,10000,42.04912418044818,-0.06468343282121539,93.53165671787846,10219
8,H17,0.5,False,True,10000,43.218593704030596,-0.04864175737962146,95.13582426203784,10197
8,H17,0.5,False,False,10000,43.0742084109401,-0.05009312812469366,94.99068718753063,10201
8,H17,0.65,True,True,10000,43.37585868498528,-0.04288518155053975,95.71148184494602,10190
8,H17,0.65,True,False,10000,43.12088775409997,-0.043111067465383485,95.68889325346164,10183
8,H17,0.65,False,True,10000,43.55852317360566,-0.037706205813040065,96.229379418696,10184
8,H17,0.65,False,False,10000,42.68627450980392,-0.06,94.0,10200
8,H17,0.75,True,True,10000,42.79257148472045,-0.054927778323671024,94.5072221676329,10177
8,H17,0.75,True,False,10000,43.097345132743364,-0.04788593903638151,95.21140609636186,10170
8,H17,0.75,False,True,10000,42.80258519388954,-0.05679592636114375,94.32040736388562,10212
8,H17,0.75,False,False,10000,43.41511285574092,-0.04396467124631992,95.603532875368,10190
